X measured,X true,Z measured,Z true,X error,X absolute error,Z error,Z absolute error
613,650,2075,2100,-37,37,-25,25
614,650,2356,2400,-36,36,-44,44
616,650,1758,1800,-34,34,-42,42
618,650,1763,1800,-32,32,-37,37
999,1230,2047,2100,-231,231,-53,53
1016,1230,2104,2100,-214,214,4,4
1018,1230,2104,2100,-212,212,4,4
1031,1230,2108,2100,-199,199,8,8
1039,1230,2075,2100,-191,191,-25,25
1049,1230,2152,2100,-181,181,52,52
1082,1230,2320,2400,-148,148,-80,80
1085,1230,2320,2400,-145,145,-80,80
1090,1230,2334,2400,-140,140,-66,66
1094,1230,2329,2400,-136,136,-71,71
1100,1230,2329,2400,-130,130,-71,71
1102,1230,2338,2400,-128,128,-62,62
1115,1230,2553,2700,-115,115,-147,147
1118,1230,2526,2700,-112,112,-174,174
1124,1230,2553,2700,-106,106,-147,147
1125,1230,2542,2700,-105,105,-158,158
1128,1230,2553,2700,-102,102,-147,147
1136,1230,2799,3000,-94,94,-201,201
1142,1230,2818,3000,-88,88,-182,182
1147,1230,2812,3000,-83,83,-188,188
1147,1230,2825,3000,-83,83,-175,175
1150,1230,2825,3000,-80,80,-175,175
1153,1230,2825,3000,-77,77,-175,175
